# index logical_name bit instance cell origin
45 MAR 10 _1321_ sky130_fd_sc_hd__dfrtp_2 RTL
46 MAR 11 _1322_ sky130_fd_sc_hd__dfrtp_2 RTL
47 MAR 12 _1323_ sky130_fd_sc_hd__dfrtp_2 RTL
48 MAR 13 _1324_ sky130_fd_sc_hd__dfrtp_2 RTL
49 MAR 14 _1325_ sky130_fd_sc_hd__dfrtp_2 RTL
50 MAR 15 _1326_ sky130_fd_sc_hd__dfrtp_2 RTL
51 MAR 16 _1327_ sky130_fd_sc_hd__dfrtp_2 RTL
52 MAR 17 _1328_ sky130_fd_sc_hd__dfrtp_2 RTL
53 MAR 18 _1329_ sky130_fd_sc_hd__dfrtp_2 RTL
54 MAR 19 _1330_ sky130_fd_sc_hd__dfrtp_2 RTL
55 MAR 20 _1331_ sky130_fd_sc_hd__dfrtp_2 RTL
56 MAR 21 _1332_ sky130_fd_sc_hd__dfrtp_2 RTL
57 MAR 22 _1333_ sky130_fd_sc_hd__dfrtp_2 RTL
58 MAR 23 _1334_ sky130_fd_sc_hd__dfrtp_2 RTL
59 MAR 24 _1335_ sky130_fd_sc_hd__dfrtp_2 RTL
60 MAR 25 _1336_ sky130_fd_sc_hd__dfrtp_2 RTL
61 MAR 26 _1337_ sky130_fd_sc_hd__dfrtp_2 RTL
62 MAR 27 _1338_ sky130_fd_sc_hd__dfrtp_2 RTL
63 MAR 28 _1339_ sky130_fd_sc_hd__dfrtp_2 RTL
64 MAR 29 _1340_ sky130_fd_sc_hd__dfrtp_2 RTL
65 MAR 30 _1341_ sky130_fd_sc_hd__dfrtp_2 RTL
66 MAR 31 _1342_ sky130_fd_sc_hd__dfrtp_2 RTL
67 TEMP 0 _1343_ sky130_fd_sc_hd__dfrtp_2 RTL
68 TEMP 1 _1344_ sky130_fd_sc_hd__dfrtp_2 RTL
69 TEMP 2 _1345_ sky130_fd_sc_hd__dfrtp_2 RTL
70 TEMP 3 _1346_ sky130_fd_sc_hd__dfrtp_2 RTL
71 TEMP 4 _1347_ sky130_fd_sc_hd__dfrtp_2 RTL
72 TEMP 5 _1348_ sky130_fd_sc_hd__dfrtp_2 RTL
73 TEMP 6 _1349_ sky130_fd_sc_hd__dfrtp_2 RTL
74 TEMP 7 _1350_ sky130_fd_sc_hd__dfrtp_2 RTL
75 TEMP 10 _1351_ sky130_fd_sc_hd__dfrtp_2 RTL
76 MAX 0 _1352_ sky130_fd_sc_hd__dfrtp_2 RTL
77 MAX 1 _1353_ sky130_fd_sc_hd__dfrtp_2 RTL
78 MAX 2 _1354_ sky130_fd_sc_hd__dfrtp_2 RTL
79 MAX 3 _1355_ sky130_fd_sc_hd__dfrtp_2 RTL
80 MAX 4 _1356_ sky130_fd_sc_hd__dfrtp_2 RTL
81 MAX 5 _1357_ sky130_fd_sc_hd__dfrtp_2 RTL
82 MAX 6 _1358_ sky130_fd_sc_hd__dfrtp_2 RTL
83 MAX 7 _1359_ sky130_fd_sc_hd__dfrtp_2 RTL
84 MAX 10 _1360_ sky130_fd_sc_hd__dfrtp_2 RTL
85 FLAG 0 _1361_ sky130_fd_sc_hd__dfrtp_2 RTL
86 EN_DISP 0 _1362_ sky130_fd_sc_hd__dfrtp_2 RTL
87 RES_DISP 0 _1363_ sky130_fd_sc_hd__dfrtp_2 RTL
